,canonical_SMILES
747893,CCCSc1nc(C)ccc1C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2
1032998,[NH3+]CCC[NH2+]CCCCCS
42793,C[C@H](C(=O)NC[C@H](COC(=O)C(C)(C)C)Cc1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1
1096809,c1ccc(-c2ccccc2OCC2=NCCN2)cc1
365858,Cc1n[nH]c2nccc(-c3ccc(NC(=O)NCc4ccccn4)cc3)c12
217763,CCN1C(C(=O)N[C@H](C=O)CC(C)C)Cc2cc3c(cc2S1(=O)=O)OCCO3
566054,CN1C(=O)[C@H](NC(=O)Nc2cccc(Cl)c2)N=C(c2ccccc2)c2ccccc21
770280,C=CCOC(=O)N1[C@H]2CC[C@@H]1C[C@@H](Nc1nc(Nc3cc(C)[nH]n3)cc3ncc(C(=O)OC)cc13)C2
883832,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1
398921,COc1c(C)c2c(c(O)c1CC1C(F)(F)C1(C)CCC(=O)O)C(=O)OC2
782412,N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)NCCOc4ccc(F)cc4)cn3)CC2)cc1
585856,COc1ccc(OC)c(C(=O)N2CCN(Cc3ccc(C(=O)NCc4ccccc4OC(F)(F)F)s3)CC2)n1
785890,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1ccc(N)nc1)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(C)C)C(N)=O
867890,COC/C=C/C(=O)N1CCCCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12
668678,COc1ccc(C(=O)N[C@H]2CCC[C@H](NC(=O)c3cccc(Cl)c3)C2)cc1
844365,Cc1[nH]nc(C(=O)Nc2sc3c(c2-c2nc(C4CC4)no2)CCOC3)c1C(=O)O
494529,Cc1nc2n(c(=O)c1CCN1CCN(c3cccc4sccc34)CC1)CCCC2=O
18511,CCOc1nc2ccc(O[C@H]3CC[C@H](OC[C@H](C)NC(C)=O)CC3)cc2n1C
880247,Nc1ncnn2c(C3CCC3)nc(-c3ccc(C(=O)c4ccccc4)c(F)c3)c12
924986,NC(=O)COc1cc(-c2cnn(CCO)c2)c2c(c1)C(O)(C(F)(F)F)c1ccccc1-2
719249,CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1Nc1nnc(-c3ccc(OC(F)(F)F)cc3)s1)c1c(O)ccc(F)c12
654634,CCCCNC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5
780753,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Cn4c(=O)[nH]c5ccccc5c4=O)cc3)CC2)c1
175090,CC(C)NC(=O)P(=O)(O)O
645157,Cc1ccc(-c2ccc(O[C@@H](Cc3ccccc3)C(=O)O)cc2)cc1
70740,C/C(=N\NC(=O)CN[C@@H]1C[C@H]1c1ccc(F)c(F)c1)c1ccccc1
153083,CC(C)COC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1
995148,CNC(=N)NCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)NNC(=O)[C@H](Cc1cccc(F)c1)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(C)=O)[C@@H](C)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O
710191,CC(C)(O)[C@H]1CC[C@@H](c2ncc3nc(Nc4ccc(F)cc4F)n(C4CCOCC4)c3n2)C1
818766,Clc1cccc2c1CCCC2Nc1nc2ccccc2[nH]1
470681,CCCc1ccc(-c2ccccc2OCC=O)c(F)c1F
792301,Cc1cnc(-c2cc(OC[C@@H]3COCCO3)cc(C(=O)N[C@H](C)c3ccc(C(F)(F)F)nn3)c2)s1
756782,CCN(C[C@@]12CC[C@@H](c3cc(-c4c(F)cccc4F)nnc31)C2(C)C)S(=O)(=O)c1ccc(NC(N)=O)cc1
140749,Cc1ccc(C(=O)O)c(Oc2nc(Oc3cc(N)cc(-c4cccc(CN)c4)c3)c(F)c(N3CCC(N(C)C)C3)c2F)c1
1103737,O=C1/C(=C/c2ccc(OCCCN3CCCCC3)cc2)Cc2cc(F)ccc21
1627,NS(=O)(=O)c1c(C(F)(F)F)ccc(N2C[C@H](O)[C@H](O)C2)c1-c1nnn[nH]1
130132,Cc1cc2nc3n(c2cc1Cl)C[C@@](NC(=O)c1ccc(-n2cnnc2)cc1Cl)(c1ccccc1)CC3
894004,N[C@H]1C[C@@H](N2Cc3cnc(C4CC4)nc3C2)CC[C@@H]1c1cc(F)c(F)cc1F
957922,CNc1nc(Nc2ccc(-c3c(C)noc3C)cc2OC)ncc1C(F)(F)F
374203,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)[nH]n1
588186,CCC1(CCCCN2CCN(c3cccc(Cl)c3)CC2)C(=O)Nc2cc(F)ccc21
654589,CCCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3
874933,O=C(NS(=O)(=O)c1ccc(OCc2ccccc2)cc1)c1cccc(-c2ccc(Cl)c(Cl)c2)c1
580380,CCN1CC[C@]2(c3cccc(O)c3)Cc3[nH]c(C(N)=O)c(C)c3C[C@H]2C1
989114,N#Cc1cnccc1COc1cnc(N2CC3CCC(C2)N3C(=O)OCC(F)(F)F)nc1
466766,O=C(Cc1ccccn1)N1CCC(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)CC1
